Item Name,Item Quantity,Item Image Link,Item Product Link,Item Description,Item Price(approx),Sellable,Return Time (days)
KR 260 Robotics Kit,1,abc,abc,A robotic arm kit for educational purposes.,"$2,500",TRUE,15
Xilinx PYNQ Z2,1,abc,abc,A Python-based FPGA board for AI development.,$120,TRUE,15
Xilinx PYNQ ZU,1,abc,abc,An advanced Python-based FPGA board.,$250,TRUE,15
Intel Neural Compute Stick 2,1,abc,abc,Accelerates AI computations at the edge.,$85,TRUE,15
VVDN-JXN-NX Jetson,1,abc,abc,A developer kit for AI and deep learning.,$300,TRUE,15
Wave-Share Lora-Hat,1,abc,abc,A Lora expansion hat for Raspberry Pi.,$30,TRUE,15
Y Lidar,1,abc,abc,A Lidar sensor for distance measurement.,$100,TRUE,15
Intel Realsense Lidar,1,abc,abc,A high-resolution Lidar sensor.,$190,TRUE,15
HiRes Pi Camera w/ lens,1,abc,abc,A high-resolution camera module for Raspberry Pi.,$25,TRUE,15
Pi Camera,1,abc,abc,A basic camera module for Raspberry Pi.,$15,TRUE,15
Tau Onion Lidar,1,abc,abc,A compact Lidar sensor for IoT and robotics.,$100,TRUE,15
Ti CC 3200 Launchpad,1,abc,abc,A development kit for IoT applications.,$30,TRUE,15
Ti CC 2650 Launchpad,1,abc,abc,A wireless development kit for IoT.,$30,TRUE,15
STM32F103C8T6A BluePills,1,abc,abc,A cheap and powerful microcontroller board.,$3,TRUE,15
XBee module,1,abc,abc,A module for creating wireless communication.,$25,TRUE,15
Heltech Lora32,1,abc,abc,A LoRa and WiFi enabled microcontroller.,$20,TRUE,15
Soldering Station Parts,1,abc,abc,Essential tools for soldering electronic components.,$40,TRUE,15
ZYNQ UltraScale + FPGA,1,abc,abc,A high-performance FPGA for AI and hardware acceleration.,"$2,000",TRUE,15
Kamvas 16 Creative Pen Display,1,abc,abc,A pen display for creative work and design.,$400,TRUE,15
IoT Lab Kits,1,abc,abc,A collection of various IoT components and modules.,$100,TRUE,15
Raspberry Pi 4 Model B,1,abc,abc,A single-board computer for versatile applications.,$55,TRUE,15
Arduino Uno,1,abc,abc,A popular microcontroller board.,$22,TRUE,15
NVIDIA Jetson AGX Xavier Developer Kit,1,abc,abc,For high-performance AI applications.,$700,TRUE,15
Google Coral Dev Board,1,abc,abc,For running TensorFlow models at the edge.,$150,TRUE,15
Adafruit Feather HUZZAH ESP8266,1,abc,abc,For WiFi-enabled IoT projects.,$16,TRUE,15
Grove Starter Kit for IoT,1,abc,abc,For prototyping and learning IoT concepts.,$50,TRUE,15
Microsoft Azure IoT Developer Kit,1,abc,abc,For IoT solutions using Azure Cloud.,$40,TRUE,15
Ubiquiti UniFi series,1,abc,abc,For network management in IoT environments.,$150,TRUE,15
Particle Photon,1,abc,abc,For IoT projects with a built-in Wi-Fi module.,$20,TRUE,15
Flir Lepton Thermal Camera Module,1,abc,abc,For integrating thermal imaging.,$200,TRUE,15
BeagleBone Black,1,abc,abc,As an alternative to Raspberry Pi.,$55,TRUE,15
Bosch XDK 110,1,abc,abc,For creating prototypes of IoT devices.,$180,TRUE,15
Tinkerforge Sensors Kit,1,abc,abc,A wide range of sensors for IoT projects.,$80,TRUE,15
Husarion CORE2-ROS,1,abc,abc,For building robots and IoT devices.,$90,TRUE,15
UDOO X86 II,1,abc,abc,A powerful single-board computer for IoT and AI.,$260,TRUE,15
Amazon DeepLens,1,abc,abc,A deep learning-enabled video camera for developers.,$250,TRUE,15
RPLIDAR A1 360 Degree Laser Scanner Kit,1,abc,abc,For robotic applications.,$100,TRUE,15
SparkFun Inventor's Kit,1,abc,abc,For learning electronics and programming.,$100,TRUE,15
Mycroft Mark II,1,abc,abc,An open-source voice assistant.,$130,TRUE,15
Seeed Studio ReSpeaker Core v2.0,1,abc,abc,For developing voice-enabled products.,$80,TRUE,15
M5Stack ESP32 Development Kit,1,abc,abc,For creating modular IoT applications.,$35,TRUE,15
Pixy2 Smart Vision Sensor,1,abc,abc,For object recognition in robotics.,$60,TRUE,15
Sonoff Smart Home Automation Modules,1,abc,abc,For home automation projects.,$15,TRUE,15
Brick’R’knowledge Basic Set,1,abc,abc,For easy electronics prototyping.,$90,TRUE,15
JetBot AI Kit powered by NVIDIA Jetson Nano,1,abc,abc,For AI-based robot development.,$400,TRUE,15
Octoprint Kit,1,abc,abc,For 3D printer monitoring and management.,$50,TRUE,15
Omega2+ IoT Computer,1,abc,abc,For IoT projects with Linux.,$20,TRUE,15
Smart Agriculture IoT Vertical Kit,1,abc,abc,For agricultural applications.,$250,TRUE,15
IoT Long Range Wireless Temperature and Humidity Sensor,1,abc,abc,For environmental monitoring.,$80,TRUE,15
Dragino LoRa GPS Hat for Raspberry Pi,1,abc,abc,For GPS-based applications.,$30,TRUE,15
